"uf_numero","sg_uf","year","population"
11,"RO","2015",1768204
11,"RO","2016",1787279
11,"RO","2017",1805788
11,"RO","2018",1757589
11,"RO","2019",1777225
11,"RO","2020",1796460
11,"RO","2021",1815278
12,"AC","2015",803513
12,"AC","2016",816687
12,"AC","2017",829619
12,"AC","2018",869265
12,"AC","2019",881935
12,"AC","2020",894470
12,"AC","2021",906876
13,"AM","2015",3938336
13,"AM","2016",4001667
13,"AM","2017",4063614
13,"AM","2018",4080611
13,"AM","2019",4144597
13,"AM","2020",4207714
13,"AM","2021",4269995
14,"RR","2015",505665
14,"RR","2016",514229
14,"RR","2017",522636
14,"RR","2018",576568
14,"RR","2019",605761
14,"RR","2020",631181
14,"RR","2021",652713
15,"PA","2015",8175113
15,"PA","2016",8272724
15,"PA","2017",8366628
15,"PA","2018",8513497
15,"PA","2019",8602865
15,"PA","2020",8690745
15,"PA","2021",8777124
16,"AP","2015",766679
16,"AP","2016",782295
16,"AP","2017",797722
16,"AP","2018",829494
16,"AP","2019",845731
16,"AP","2020",861773
16,"AP","2021",877613
17,"TO","2015",1515126
17,"TO","2016",1532902
17,"TO","2017",1550194
17,"TO","2018",1555229
17,"TO","2019",1572866
17,"TO","2020",1590248
17,"TO","2021",1607363
21,"MA","2015",6904241
21,"MA","2016",6954036
21,"MA","2017",7000229
21,"MA","2018",7035055
21,"MA","2019",7075181
21,"MA","2020",7114598
21,"MA","2021",7153262
22,"PI","2015",3204028
22,"PI","2016",3212180
22,"PI","2017",3219257
22,"PI","2018",3264531
22,"PI","2019",3273227
22,"PI","2020",3281480
22,"PI","2021",3289290
23,"CE","2015",8904459
23,"CE","2016",8963663
23,"CE","2017",9020460
23,"CE","2018",9075649
23,"CE","2019",9132078
23,"CE","2020",9187103
23,"CE","2021",9240580
24,"RN","2015",3442175
24,"RN","2016",3474998
24,"RN","2017",3507003
24,"RN","2018",3479010
24,"RN","2019",3506853
24,"RN","2020",3534165
24,"RN","2021",3560903
25,"PB","2015",3972202
25,"PB","2016",3999415
25,"PB","2017",4025558
25,"PB","2018",3996496
25,"PB","2019",4018127
25,"PB","2020",4039277
25,"PB","2021",4059905
26,"PE","2015",9345173
26,"PE","2016",9410336
26,"PE","2017",9473266
26,"PE","2018",9496294
26,"PE","2019",9557071
26,"PE","2020",9616621
26,"PE","2021",9674793
27,"AL","2015",3340932
27,"AL","2016",3358963
27,"AL","2017",3375823
27,"AL","2018",3322820
27,"AL","2019",3337357
27,"AL","2020",3351543
27,"AL","2021",3365351
28,"SE","2015",2242937
28,"SE","2016",2265779
28,"SE","2017",2288116
28,"SE","2018",2278308
28,"SE","2019",2298696
28,"SE","2020",2318822
28,"SE","2021",2338474
29,"BA","2015",15203934
29,"BA","2016",15276566
29,"BA","2017",15344447
29,"BA","2018",14812617
29,"BA","2019",14873064
29,"BA","2020",14930634
29,"BA","2021",14985284
31,"MG","2015",20869101
31,"MG","2016",20997560
31,"MG","2017",21119536
31,"MG","2018",21040662
31,"MG","2019",21168791
31,"MG","2020",21292666
31,"MG","2021",21411923
32,"ES","2015",3929911
32,"ES","2016",3973697
32,"ES","2017",4016356
32,"ES","2018",3972388
32,"ES","2019",4018650
32,"ES","2020",4064052
32,"ES","2021",4108508
33,"RJ","2015",16550024
33,"RJ","2016",16635996
33,"RJ","2017",16718956
33,"RJ","2018",17159960
33,"RJ","2019",17264943
33,"RJ","2020",17366189
33,"RJ","2021",17463349
35,"SP","2015",44396484
35,"SP","2016",44749699
35,"SP","2017",45094866
35,"SP","2018",45538936
35,"SP","2019",45919049
35,"SP","2020",46289333
35,"SP","2021",46649132
41,"PR","2015",11163018
41,"PR","2016",11242720
41,"PR","2017",11320892
41,"PR","2018",11348937
41,"PR","2019",11433957
41,"PR","2020",11516840
41,"PR","2021",11597484
42,"SC","2015",6819190
42,"SC","2016",6910553
42,"SC","2017",7001161
42,"SC","2018",7075494
42,"SC","2019",7164788
42,"SC","2020",7252502
42,"SC","2021",7338473
43,"RS","2015",11247972
43,"RS","2016",11286500
43,"RS","2017",11322895
43,"RS","2018",11329605
43,"RS","2019",11377239
43,"RS","2020",11422973
43,"RS","2021",11466630
50,"MS","2015",2651235
50,"MS","2016",2682386
50,"MS","2017",2713147
50,"MS","2018",2748023
50,"MS","2019",2778986
50,"MS","2020",2809394
50,"MS","2021",2839188
51,"MT","2015",3265486
51,"MT","2016",3305531
51,"MT","2017",3344544
51,"MT","2018",3441998
51,"MT","2019",3484466
51,"MT","2020",3526220
51,"MT","2021",3567234
52,"GO","2015",6610681
52,"GO","2016",6695855
52,"GO","2017",6778772
52,"GO","2018",6921161
52,"GO","2019",7018354
52,"GO","2020",7113540
52,"GO","2021",7206589
53,"DF","2015",2914830
53,"DF","2016",2977216
53,"DF","2017",3039444
53,"DF","2018",2974703
53,"DF","2019",3015268
53,"DF","2020",3055149
53,"DF","2021",3094325
